# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,170.886179,['1_train', '1_test'],[1.0, -0.053774066269397736, -0.053774066269397736, 1.000000238418579]
136,176.082442,['1_train', '1_test'],[1.0, -0.0007102275267243385, -0.0007102275267243385, 1.0000001192092896]
137,176.130594,['1_train', '1_test'],[1.0, -0.0018090852536261082, -0.0018090852536261082, 1.0]
138,176.178871,['1_train', '1_test'],[1.0, -0.002961031161248684, -0.002961031161248684, 1.0]
139,176.227421,['1_train', '1_test'],[1.0, -0.00405492540448904, -0.00405492540448904, 1.0000001192092896]
140,176.275515,['1_train', '1_test'],[1.0, -0.0019223900744691491, -0.0019223900744691491, 0.9999998211860657]
141,176.371871,['1_train', '1_test'],[1.0, -0.0032564594876021147, -0.0032564594876021147, 1.000000238418579]
142,176.419407,['1_train', '1_test'],[1.0, -0.004890081472694874, -0.004890081472694874, 1.000000238418579]
143,176.467613,['1_train', '1_test'],[1.0, -0.007139707449823618, -0.007139707449823618, 1.0000001192092896]
144,176.563925,['1_train', '1_test'],[1.0, -0.006515101063996553, -0.006515101063996553, 1.0000001192092896]
145,176.612082,['1_train', '1_test'],[1.0, -0.0077629173174500465, -0.0077629173174500465, 1.0]
146,176.659368,['1_train', '1_test'],[1.0, -0.008126928471028805, -0.008126928471028805, 1.000000238418579]
147,176.707584,['1_train', '1_test'],[1.0, -0.007659244351089001, -0.007659244351089001, 0.9999998807907104]
148,176.753882,['1_train', '1_test'],[1.0, -0.007266498636454344, -0.007266498636454344, 0.9999997019767761]
149,176.800445,['1_train', '1_test'],[1.0, -0.007329153828322887, -0.007329153828322887, 1.0]
150,176.845522,['1_train', '1_test'],[1.0, -0.00882001779973507, -0.00882001779973507, 1.0]
151,176.893762,['1_train', '1_test'],[1.0, -0.009051940403878689, -0.009051940403878689, 1.000000238418579]
152,176.941758,['1_train', '1_test'],[1.0, -0.007295622956007719, -0.007295622956007719, 0.9999999403953552]
153,176.989124,['1_train', '1_test'],[1.0, -0.008080510422587395, -0.008080510422587395, 1.0]
154,177.037787,['1_train', '1_test'],[1.0, -0.0075448788702487946, -0.0075448788702487946, 0.9999997615814209]
155,177.085922,['1_train', '1_test'],[1.0, -0.006985357962548733, -0.006985357962548733, 0.9999999403953552]
156,177.134767,['1_train', '1_test'],[1.0, -0.006874603684991598, -0.006874603684991598, 1.0]
157,177.227095,['1_train', '1_test'],[1.0, -0.0056526754051446915, -0.0056526754051446915, 1.000000238418579]
158,177.275375,['1_train', '1_test'],[1.0, -0.006265024654567242, -0.006265024654567242, 1.0]
159,177.323783,['1_train', '1_test'],[1.0, -0.006746220402419567, -0.006746220402419567, 1.0]
160,177.370069,['1_train', '1_test'],[1.0, -0.006408572196960449, -0.006408572196960449, 0.9999998807907104]
161,177.417645,['1_train', '1_test'],[1.0, -0.0059334272518754005, -0.0059334272518754005, 1.0000001192092896]
162,177.474425,['1_train', '1_test'],[1.0, -0.005432815290987492, -0.005432815290987492, 1.0000001192092896]
163,177.564009,['1_train', '1_test'],[1.0, -0.0045942156575620174, -0.0045942156575620174, 0.9999999403953552]
164,177.608777,['1_train', '1_test'],[1.0, -0.0016293441876769066, -0.0016293441876769066, 0.9999998211860657]
165,177.653432,['1_train', '1_test'],[1.0, -0.00023710494861006737, -0.00023710494861006737, 1.0]
166,177.698128,['1_train', '1_test'],[1.0, 0.0006244238466024399, 0.0006244238466024399, 1.000000238418579]
167,177.743139,['1_train', '1_test'],[1.0, 0.0007828390225768089, 0.0007828390225768089, 1.000000238418579]
168,177.787917,['1_train', '1_test'],[1.0, 0.001056084525771439, 0.001056084525771439, 1.0]
169,177.833112,['1_train', '1_test'],[1.0, 0.002002001041546464, 0.002002001041546464, 1.0000003576278687]
170,177.878057,['1_train', '1_test'],[1.0, 0.0012769121676683426, 0.0012769121676683426, 0.9999998211860657]
171,177.922811,['1_train', '1_test'],[1.0, 0.003775479504838586, 0.003775479504838586, 0.9999998211860657]
172,177.967372,['1_train', '1_test'],[1.0, 0.003801904618740082, 0.003801904618740082, 1.000000238418579]
173,178.011793,['1_train', '1_test'],[1.0, 0.005066170822829008, 0.005066170822829008, 0.9999999403953552]
174,178.056268,['1_train', '1_test'],[1.0, 0.005539610981941223, 0.005539610981941223, 1.0]
175,178.100926,['1_train', '1_test'],[1.0, 0.004571751691401005, 0.004571751691401005, 1.000000238418579]
176,178.145250,['1_train', '1_test'],[1.0, 0.005625503603368998, 0.005625503603368998, 1.0000001192092896]
177,178.190110,['1_train', '1_test'],[1.0, 0.006402476690709591, 0.006402476690709591, 1.0000001192092896]
178,178.234628,['1_train', '1_test'],[1.0, 0.0058004106394946575, 0.0058004106394946575, 1.0000001192092896]
179,178.279135,['1_train', '1_test'],[1.0, 0.005921399220824242, 0.005921399220824242, 1.0000001192092896]
180,178.324124,['1_train', '1_test'],[1.0, 0.0046995580196380615, 0.0046995580196380615, 0.9999995827674866]
181,178.369941,['1_train', '1_test'],[1.0, 0.0076116942800581455, 0.0076116942800581455, 1.0]
182,178.415321,['1_train', '1_test'],[1.0, 0.012161019258201122, 0.012161019258201122, 0.9999999403953552]
183,178.457365,['1_train', '1_test'],[1.0, 0.014379642903804779, 0.014379642903804779, 1.0]
184,178.502739,['1_train', '1_test'],[1.0, 0.01449156180024147, 0.01449156180024147, 1.0]
185,178.549557,['1_train', '1_test'],[1.0, 0.018878482282161713, 0.018878482282161713, 1.0]
186,178.597146,['1_train', '1_test'],[1.0, 0.02125859446823597, 0.02125859446823597, 1.0000001192092896]
187,178.645618,['1_train', '1_test'],[1.0, 0.021005598828196526, 0.021005598828196526, 1.0]
188,178.694326,['1_train', '1_test'],[1.0, 0.022797979414463043, 0.022797979414463043, 1.0]
189,178.742462,['1_train', '1_test'],[1.0, 0.022493381053209305, 0.022493381053209305, 1.0]
190,178.791410,['1_train', '1_test'],[1.0, 0.023565173149108887, 0.023565173149108887, 1.0000001192092896]
191,178.839677,['1_train', '1_test'],[1.0, 0.024882104247808456, 0.024882104247808456, 0.9999998807907104]
192,178.888128,['1_train', '1_test'],[1.0, 0.025437016040086746, 0.025437016040086746, 1.0]
193,178.936346,['1_train', '1_test'],[1.0, 0.026146024465560913, 0.026146024465560913, 0.9999998807907104]
194,178.981880,['1_train', '1_test'],[1.0, 0.027332399040460587, 0.027332399040460587, 0.9999998807907104]
195,179.029518,['1_train', '1_test'],[1.0, 0.02868783473968506, 0.02868783473968506, 1.0000001192092896]
196,179.077253,['1_train', '1_test'],[1.0, 0.030461501330137253, 0.030461501330137253, 1.0]
197,179.126234,['1_train', '1_test'],[1.0, 0.032058581709861755, 0.032058581709861755, 1.000000238418579]
198,179.174095,['1_train', '1_test'],[1.0, 0.032210443168878555, 0.032210443168878555, 1.000000238418579]
199,179.221873,['1_train', '1_test'],[1.0, 0.03466683626174927, 0.03466683626174927, 0.9999998807907104]
200,179.270068,['1_train', '1_test'],[1.0, 0.03526706621050835, 0.03526706621050835, 1.0000001192092896]
201,179.317382,['1_train', '1_test'],[1.0, 0.03456485643982887, 0.03456485643982887, 1.0]
202,179.365627,['1_train', '1_test'],[1.0, 0.03680002689361572, 0.03680002689361572, 1.0]
203,179.414608,['1_train', '1_test'],[1.0, 0.037003085017204285, 0.037003085017204285, 0.9999999403953552]
204,179.463278,['1_train', '1_test'],[1.0, 0.037223201245069504, 0.037223201245069504, 1.0000001192092896]
205,179.512468,['1_train', '1_test'],[1.0, 0.036241814494132996, 0.036241814494132996, 0.9999999403953552]
206,179.560866,['1_train', '1_test'],[1.0, 0.03736794367432594, 0.03736794367432594, 0.9999998807907104]
207,179.609961,['1_train', '1_test'],[1.0, 0.03812434896826744, 0.03812434896826744, 0.9999998807907104]
208,179.657706,['1_train', '1_test'],[1.0, 0.0387042872607708, 0.0387042872607708, 0.9999998211860657]
209,179.705638,['1_train', '1_test'],[1.0, 0.041384488344192505, 0.041384488344192505, 0.9999998807907104]
210,179.754308,['1_train', '1_test'],[1.0, 0.040953222662210464, 0.040953222662210464, 1.0]
211,179.802321,['1_train', '1_test'],[1.0, 0.038206443190574646, 0.038206443190574646, 0.9999998807907104]
212,179.851583,['1_train', '1_test'],[1.0, 0.04062049090862274, 0.04062049090862274, 0.9999998807907104]
213,179.900302,['1_train', '1_test'],[1.0, 0.043658483773469925, 0.043658483773469925, 1.0]
214,179.948656,['1_train', '1_test'],[1.0, 0.04596346244215965, 0.04596346244215965, 1.0]
215,179.996760,['1_train', '1_test'],[1.0, 0.04878193885087967, 0.04878193885087967, 1.000000238418579]
216,180.045509,['1_train', '1_test'],[1.0, 0.05088214948773384, 0.05088214948773384, 0.9999998211860657]
217,180.094517,['1_train', '1_test'],[1.0, 0.049004919826984406, 0.049004919826984406, 1.0000003576278687]
218,180.142579,['1_train', '1_test'],[1.0, 0.051599130034446716, 0.051599130034446716, 1.0000001192092896]
219,180.190439,['1_train', '1_test'],[1.0, 0.04902734234929085, 0.04902734234929085, 1.0000001192092896]
220,180.239050,['1_train', '1_test'],[1.0, 0.04856050759553909, 0.04856050759553909, 1.0000001192092896]
221,180.288170,['1_train', '1_test'],[1.0, 0.04880175739526749, 0.04880175739526749, 1.0000001192092896]
222,180.336119,['1_train', '1_test'],[1.0, 0.050330765545368195, 0.050330765545368195, 1.0]
223,180.385800,['1_train', '1_test'],[1.0, 0.04812299460172653, 0.04812299460172653, 1.0]
224,180.433658,['1_train', '1_test'],[1.0, 0.046345971524715424, 0.046345971524715424, 1.0000001192092896]
225,180.482790,['1_train', '1_test'],[1.0, 0.04347636178135872, 0.04347636178135872, 0.9999998807907104]
226,180.529106,['1_train', '1_test'],[1.0, 0.04402359575033188, 0.04402359575033188, 0.9999998807907104]
227,180.574527,['1_train', '1_test'],[1.0, 0.044173337519168854, 0.044173337519168854, 1.0]
228,180.622861,['1_train', '1_test'],[1.0, 0.043255843222141266, 0.043255843222141266, 1.0000001192092896]
229,180.672117,['1_train', '1_test'],[1.0, 0.04304136335849762, 0.04304136335849762, 1.000000238418579]
230,180.720149,['1_train', '1_test'],[1.0, 0.04290863871574402, 0.04290863871574402, 0.9999999403953552]
231,180.768206,['1_train', '1_test'],[1.0, 0.040393196046352386, 0.040393196046352386, 0.9999999403953552]
232,180.814284,['1_train', '1_test'],[1.0, 0.04073126241564751, 0.04073126241564751, 0.9999998807907104]
233,180.862364,['1_train', '1_test'],[1.0, 0.0384468138217926, 0.0384468138217926, 1.0000001192092896]
234,180.909688,['1_train', '1_test'],[1.0, 0.03861086815595627, 0.03861086815595627, 1.0]
235,180.957503,['1_train', '1_test'],[1.0, 0.03729405254125595, 0.03729405254125595, 0.9999998807907104]
